Departamento,Municipio,Fecha del accidente,Año,Mes,Latitude,Longitude,Cod_dane_muni,Cod_dane_depto,Tipo de lugar,Presunto actor responsable,Tipo de área,Id_imsma evento,Condicion,Genero,Estado,Rango de edad,Actividad,Id_imsma_victima
Nariño,Tumaco,2010-01-30 00:00:00,2010,1,1.65386111111111,-78.4895833333333,52835,52,Sin información,Desconocido,Rural,AFD_PP_2010_5655,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6204
Nariño,Tumaco,2009-09-14 00:00:00,2009,9,1.81941666666667,-78.4637222222222,52835,52,Sin información,Desconocido,Rural,AFD_PP_2009_5648,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2009_6187
Nariño,Tumaco,2013-05-27 00:00:00,2013,5,1.42175,-78.7403611111111,52835,52,Sin información,Desconocido,Rural,AFD_PP_2013_5683,Fuerza pública,Hombre,Muerto,Mayor de 18 años,Fuerza pública,VIC_PP_2013_6266
Nariño,Tumaco,2013-05-27 00:00:00,2013,5,1.42175,-78.7403611111111,52835,52,Sin información,Desconocido,Rural,AFD_PP_2013_5683,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2013_6267
Nariño,Tumaco,2013-05-27 00:00:00,2013,5,1.42175,-78.7403611111111,52835,52,Sin información,Desconocido,Rural,AFD_PP_2013_5683,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2013_6268
Nariño,Tumaco,2012-06-16 00:00:00,2012,6,1.56780555555556,-78.55975,52835,52,Sin información,Desconocido,Rural,AFD_PP_2012_5678,Fuerza pública,Hombre,Muerto,Mayor de 18 años,Fuerza pública,VIC_PP_2012_6259
Nariño,Tumaco,2009-09-29 00:00:00,2009,9,1.66138888888889,-78.4947222222222,52835,52,Sin información,Desconocido,Rural,AFD_PP_2009_5652,Fuerza pública,Hombre,Muerto,Mayor de 18 años,Fuerza pública,VIC_PP_2009_6198
Nariño,Tumaco,2009-09-29 00:00:00,2009,9,1.66138888888889,-78.4947222222222,52835,52,Sin información,Desconocido,Rural,AFD_PP_2009_5652,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2009_6199
Nariño,Tumaco,2010-10-12 00:00:00,2010,10,1.44138888888889,-78.6022222222222,52835,52,Sin información,Desconocido,Rural,AFD_PP_2010_5669,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6239
Nariño,Tumaco,2010-10-12 00:00:00,2010,10,1.44138888888889,-78.6022222222222,52835,52,Sin información,Desconocido,Rural,AFD_PP_2010_5669,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6240
Nariño,Tumaco,2010-10-12 00:00:00,2010,10,1.44138888888889,-78.6022222222222,52835,52,Sin información,Desconocido,Rural,AFD_PP_2010_5669,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6241
Nariño,Tumaco,2010-10-12 00:00:00,2010,10,1.44138888888889,-78.6022222222222,52835,52,Sin información,Desconocido,Rural,AFD_PP_2010_5669,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6242
Nariño,Tumaco,2014-07-04 00:00:00,2014,7,1.39922222222222,-78.3053055555555,52835,52,Sin información,Desconocido,Rural,AFD_PP_2014_5684,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2014_6270
Nariño,Tumaco,2014-07-04 00:00:00,2014,7,1.39922222222222,-78.3053055555555,52835,52,Sin información,Desconocido,Rural,AFD_PP_2014_5684,Fuerza pública,Hombre,Muerto,Mayor de 18 años,Fuerza pública,VIC_PP_2014_6269
Nariño,Roberto payán,2012-06-02 00:00:00,2012,6,1.62916666666667,-78.3766666666667,52621,52,Sin información,Desconocido,Rural,AFD_PP_2012_5677,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2012_6257
Nariño,Roberto payán,2012-06-02 00:00:00,2012,6,1.62916666666667,-78.3766666666667,52621,52,Sin información,Desconocido,Rural,AFD_PP_2012_5677,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2012_6258
Nariño,Policarpa,2010-10-24 00:00:00,2010,10,1.85919444444444,-77.5842222222222,52540,52,Sin información,Desconocido,Rural,AFD_PP_2010_5673,Fuerza pública,Hombre,Muerto,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6247
Nariño,Policarpa,2010-10-24 00:00:00,2010,10,1.85919444444444,-77.5842222222222,52540,52,Sin información,Desconocido,Rural,AFD_PP_2010_5673,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6248
Nariño,Policarpa,2010-10-24 00:00:00,2010,10,1.85919444444444,-77.5842222222222,52540,52,Sin información,Desconocido,Rural,AFD_PP_2010_5673,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6249
Nariño,Policarpa,2010-10-24 00:00:00,2010,10,1.85919444444444,-77.5842222222222,52540,52,Sin información,Desconocido,Rural,AFD_PP_2010_5673,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6250
Nariño,Policarpa,2010-10-24 00:00:00,2010,10,1.85919444444444,-77.5842222222222,52540,52,Sin información,Desconocido,Rural,AFD_PP_2010_5673,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6251
Antioquia,Valdivia,2009-07-06 00:00:00,2009,7,7.165222,-75.438081,5854,5,Sin información,Desconocido,Rural,AFD_PP_2009_5645,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2009_6184
Antioquia,Valdivia,2009-07-06 00:00:00,2009,7,7.165222,-75.438081,5854,5,Sin información,Desconocido,Rural,AFD_PP_2009_5645,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2009_6183
Antioquia,Valdivia,2009-07-06 00:00:00,2009,7,7.165222,-75.438081,5854,5,Sin información,Desconocido,Rural,AFD_PP_2009_5645,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2009_6181
Antioquia,Valdivia,2009-07-06 00:00:00,2009,7,7.165222,-75.438081,5854,5,Sin información,Desconocido,Rural,AFD_PP_2009_5645,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2009_6182
Antioquia,Valdivia,2010-06-07 00:00:00,2010,6,7.38805555555556,-75.29,5854,5,Sin información,Desconocido,Rural,AFD_PP_2010_5662,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6220
Antioquia,Valdivia,2010-06-07 00:00:00,2010,6,7.38805555555556,-75.29,5854,5,Sin información,Desconocido,Rural,AFD_PP_2010_5662,Fuerza pública,Hombre,Muerto,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6216
Antioquia,Valdivia,2010-06-07 00:00:00,2010,6,7.38805555555556,-75.29,5854,5,Sin información,Desconocido,Rural,AFD_PP_2010_5662,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6217
Antioquia,Valdivia,2010-06-07 00:00:00,2010,6,7.38805555555556,-75.29,5854,5,Sin información,Desconocido,Rural,AFD_PP_2010_5662,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6219
Antioquia,Valdivia,2010-06-07 00:00:00,2010,6,7.38805555555556,-75.29,5854,5,Sin información,Desconocido,Rural,AFD_PP_2010_5662,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6221
Antioquia,Valdivia,2010-06-07 00:00:00,2010,6,7.38805555555556,-75.29,5854,5,Sin información,Desconocido,Rural,AFD_PP_2010_5662,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6222
Antioquia,Valdivia,2010-06-07 00:00:00,2010,6,7.38805555555556,-75.29,5854,5,Sin información,Desconocido,Rural,AFD_PP_2010_5662,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6223
Antioquia,Valdivia,2010-06-07 00:00:00,2010,6,7.38805555555556,-75.29,5854,5,Sin información,Desconocido,Rural,AFD_PP_2010_5662,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6224
Antioquia,Valdivia,2010-06-07 00:00:00,2010,6,7.38805555555556,-75.29,5854,5,Sin información,Desconocido,Rural,AFD_PP_2010_5662,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6218
Antioquia,Zaragoza,2008-08-13 00:00:00,2008,8,7.4475,-74.9902777777778,5895,5,Sin información,Desconocido,Rural,AFD_PP_2008_5640,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2008_6170
Putumayo,Valle del guamuez,2012-11-22 00:00:00,2012,11,0.368066,-76.78446,86865,86,Sin información,Desconocido,Rural,AFD_PP_2012_5681,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2012_6264
Putumayo,Puerto asís,2012-09-18 00:00:00,2012,9,0.418416666666667,-76.6446388888889,86568,86,Sin información,Desconocido,Rural,AFD_PP_2012_5680,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2012_6262
Putumayo,Puerto asís,2012-09-18 00:00:00,2012,9,0.418416666666667,-76.6446388888889,86568,86,Sin información,Desconocido,Rural,AFD_PP_2012_5680,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2012_6263
Meta,Vistahermosa,2009-04-20 00:00:00,2009,4,2.90472222222222,-73.5008333333333,50711,50,Sin información,Desconocido,Rural,AFD_PP_2009_5643,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2009_6178
Putumayo,Valle del guamuez,2008-08-08 00:00:00,2008,8,0.414305555555556,-76.7549722222222,86865,86,Sin información,Desconocido,Rural,AFD_PP_2008_5639,Fuerza pública,Hombre,Muerto,Mayor de 18 años,Fuerza pública,VIC_PP_2008_6169
Putumayo,Orito,2013-05-10 00:00:00,2013,5,0.501777777777778,-76.9609583333333,86320,86,Sin información,Desconocido,Rural,AFD_PP_2013_5682,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2013_6265
Antioquia,Tarazá,2008-12-08 00:00:00,2008,12,7.40333333333333,-75.2630555555556,5790,5,Sin información,Desconocido,Rural,AFD_PP_2008_5642,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2008_6177
Antioquia,Tarazá,2008-12-08 00:00:00,2008,12,7.40333333333333,-75.2630555555556,5790,5,Sin información,Desconocido,Rural,AFD_PP_2008_5642,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2008_6176
Antioquia,Tarazá,2008-12-08 00:00:00,2008,12,7.40333333333333,-75.2630555555556,5790,5,Sin información,Desconocido,Rural,AFD_PP_2008_5642,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2008_6175
Antioquia,Tarazá,2008-12-08 00:00:00,2008,12,7.40333333333333,-75.2630555555556,5790,5,Sin información,Desconocido,Rural,AFD_PP_2008_5642,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2008_6174
Antioquia,Valdivia,2010-07-03 00:00:00,2010,7,7.165222,-75.438081,5854,5,Sin información,Desconocido,Rural,AFD_PP_2010_5664,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6229
Antioquia,Valdivia,2010-07-03 00:00:00,2010,7,7.165222,-75.438081,5854,5,Sin información,Desconocido,Rural,AFD_PP_2010_5664,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6228
Antioquia,Valdivia,2010-07-03 00:00:00,2010,7,7.165222,-75.438081,5854,5,Sin información,Desconocido,Rural,AFD_PP_2010_5664,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6227
Antioquia,Valdivia,2010-07-03 00:00:00,2010,7,7.165222,-75.438081,5854,5,Sin información,Desconocido,Rural,AFD_PP_2010_5664,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6226
Caquetá,Cartagena del chairá,2009-09-17 00:00:00,2009,9,1.27027,-75.0085,18150,18,Sin información,Desconocido,Rural,AFD_PP_2009_5649,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2009_6195
Caquetá,Cartagena del chairá,2009-09-17 00:00:00,2009,9,1.27027,-75.0085,18150,18,Sin información,Desconocido,Rural,AFD_PP_2009_5649,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2009_6194
Caquetá,Cartagena del chairá,2009-09-17 00:00:00,2009,9,1.27027,-75.0085,18150,18,Sin información,Desconocido,Rural,AFD_PP_2009_5649,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2009_6188
Cauca,El tambo,2010-04-22 00:00:00,2010,4,2.45057270515,-76.8052045915,19256,19,Sin información,Desconocido,Rural,AFD_PP_2010_5659,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2010_6211
Putumayo,San miguel,2012-08-16 00:00:00,2012,8,0.33961145527,-76.9366918719,86757,86,Sin información,Desconocido,Rural,AFD_PP_2012_5679,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_PP_2012_6261
